geography_code,crime_sum_2021
E01001718,341
E01001719,153
E01001720,142
E01001722,194
E01001723,130
E01001724,168
E01001725,82
E01001726,70
E01001727,72
E01001728,105
E01001729,553
E01001730,210
E01001731,378
E01001732,222
E01001733,232
E01001734,289
E01001735,192
E01001736,118
E01001737,107
E01001738,144
E01001739,149
E01001740,120
E01001741,140
E01001742,164
E01001744,177
E01001745,199
E01001746,86
E01001747,256
E01001748,508
E01001749,130
E01001750,225
E01001751,115
E01001752,221
E01001753,143
E01001754,296
E01001755,229
E01001756,259
E01001757,83
E01001758,223
E01001759,112
E01001760,572
E01001761,250
E01001762,300
E01001763,184
E01001764,109
E01001765,147
E01001767,153
E01001768,154
E01001769,106
E01001770,147
E01001772,173
E01001773,346
E01001774,344
E01001775,166
E01001776,200
E01001777,377
E01001779,358
E01001780,376
E01001781,212
E01001782,155
E01001783,127
E01001784,151
E01001785,83
E01001786,195
E01001787,197
E01001788,151
E01001789,106
E01001790,92
E01001791,114
E01001792,167
E01001793,93
E01001794,215
E01001795,148
E01001796,198
E01001798,212
E01001799,75
E01001800,187
E01001801,74
E01001802,70
E01001803,117
E01001804,67
E01001805,111
E01001806,240
E01001807,132
E01001808,257
E01001809,117
E01001811,126
E01001812,142
E01001813,218
E01001814,201
E01001815,135
E01001816,157
E01001819,117
E01001820,128
E01001821,163
E01001822,195
E01001823,120
E01001824,159
E01001825,75
E01001826,87
E01001827,128
E01001828,199
E01001829,152
E01001830,282
E01001831,245
E01001832,133
E01001833,181
E01001834,151
E01001835,93
E01001836,213
E01001837,117
E01001838,130
E01001839,525
E01001840,134
E01001841,109
E01001842,114
E01001843,81
E01001844,214
E01001845,126
E01001846,155
E01001847,240
E01001848,233
E01001849,336
E01001850,148
E01001851,75
E01001852,120
E01001853,97
E01001854,156
E01001855,110
E01001856,172
E01001857,457
E01001858,140
E01001859,132
E01001860,255
E01001861,138
E01001862,154
E01001863,114
E01001864,108
E01001865,93
E01001866,148
E01001867,39
E01001868,120
E01001869,214
E01001870,118
E01001871,96
E01001872,86
E01001873,92
E01001874,360
E01001875,192
E01001876,282
E01001877,187
E01001878,129
E01001879,117
E01001880,156
E01001881,253
E01001882,124
E01001883,109
E01001884,241
E01001885,106
E01001886,129
E01001887,105
E01001888,81
E01001889,111
E01001890,313
E01001891,211
E01001892,105
E01001893,134
E01001894,323
E01001895,125
E01001896,129
E01001897,98
E01001898,872
E01001899,571
E01001900,215
E01001901,81
E01001902,84
E01001903,141
E01001904,86
E01001905,82
E01001906,64
E01001907,58
E01001908,101
E01001909,94
E01001910,96
E01001911,118
E01001912,173
E01001913,122
E01001914,175
E01001915,155
E01001916,58
E01001917,79
E01001918,75
E01001919,47
E01001920,307
E01001921,143
E01001922,132
E01001923,87
E01001924,74
E01001925,109
E01001926,65
E01001927,65
E01001928,134
E01001929,100
E01001930,121
E01001931,85
E01001932,327
E01001933,134
E01001934,114
E01001935,156
E01001937,108
E01001938,100
E01001939,174
E01001940,171
E01001941,399
E01001942,180
E01001943,1778
E01001944,193
E01001945,155
E01001946,142
E01001947,157
E01001948,138
E01001949,68
E01001950,123
E01001951,101
E01001952,133
E01001953,298
E01001954,140
E01001955,172
E01001956,113
E01001957,93
E01001958,122
E01001959,140
E01001960,151
E01001961,173
E01001962,85
E01001963,89
E01001964,98
E01001965,68
E01001966,189
E01001967,82
E01001968,73
E01001969,119
E01001970,189
E01001971,290
E01001972,116
E01001973,218
E01001974,115
E01001975,133
E01001976,174
E01001977,121
E01001978,234
E01001979,397
E01001980,151
E01001981,142
E01001982,124
E01001983,111
E01001984,102
E01001985,79
E01001986,70
E01001987,90
E01001988,78
E01001989,111
E01001990,359
E01001991,98
E01001992,111
E01001993,71
E01001994,66
E01001995,116
E01001996,67
E01001997,188
E01001998,101
E01001999,232
E01002000,123
E01002001,82
E01002002,678
E01002003,340
E01002004,118
E01002005,126
E01002006,79
E01002007,67
E01002008,87
E01002009,101
E01002010,79
E01002011,142
E01002013,59
E01002014,244
E01002015,106
E01002016,89
E01002017,147
E01002018,74
E01002019,85
E01002020,112
E01002021,64
E01002022,364
E01002023,64
E01002024,74
E01002025,56
E01002026,1157
E01002027,131
E01002028,141
E01002029,625
E01002030,175
E01002031,533
