geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01003650,Redbridge,12,11,6,2,,5,3,14,21,32,106
E01003699,Redbridge,8,7,3,0,1,11,2,16,25,33,106
E01003731,Redbridge,6,8,2,0,1,13,1,10,18,47,106
E01004061,Southwark,8,12,4,2,,7,4,29,19,21,106
E01004138,Sutton,18,5,6,0,0,2,0,12,19,44,106
E01004390,Waltham Forest,6,7,8,2,0,8,0,10,22,43,106
E01004451,Waltham Forest,4,10,4,4,1,8,2,4,23,46,106
E01004565,Wandsworth,13,11,5,0,,6,3,15,19,34,106
E01033602,Westminster,6,4,9,2,1,2,2,25,6,49,106
E01000055,Barking and Dagenham,10,11,4,5,0,1,3,8,16,47,105
E01000417,Bexley,3,4,12,0,0,14,0,12,22,38,105
E01000536,Brent,6,3,6,1,,6,6,32,32,13,105
E01000746,Bromley,8,7,12,3,0,8,1,19,16,31,105
E01000881,Camden,13,15,0,1,,6,4,13,20,33,105
E01000944,Camden,8,7,11,1,3,4,4,20,6,41,105
E01001128,Croydon,10,5,13,2,5,7,1,6,14,42,105
E01001153,Croydon,7,2,8,2,1,7,6,14,20,38,105
E01001171,Croydon,9,11,6,2,1,8,1,6,11,50,105
E01001417,Enfield,5,13,3,0,0,4,5,26,20,29,105
E01001623,Greenwich,7,4,9,0,1,7,4,6,22,45,105
E01001682,Greenwich,14,5,3,,1,8,2,7,22,43,105
E01001728,Hackney,6,16,8,2,0,6,1,18,14,34,105
E01001887,Hammersmith and Fulham,10,8,6,,2,6,1,11,18,43,105
E01001892,Hammersmith and Fulham,10,9,6,0,1,12,,25,15,27,105
E01002601,Hounslow,11,4,6,4,,10,1,9,11,49,105
E01002651,Hounslow,7,5,12,3,1,11,0,7,15,44,105
E01002666,Hounslow,9,4,8,0,0,7,0,11,20,46,105
E01002757,Islington,12,9,4,2,1,7,0,14,13,43,105
E01002796,Islington,9,9,10,3,1,6,5,23,10,29,105
E01002910,Kensington and Chelsea,3,3,4,0,,7,14,24,19,31,105
E01003175,Lambeth,13,3,4,2,2,6,1,16,15,43,105
E01003180,Lambeth,9,13,9,2,2,10,4,16,4,36,105
E01003494,Newham,5,5,3,2,2,4,4,11,28,41,105
E01003741,Redbridge,2,10,5,3,,6,3,7,28,41,105
E01003765,Redbridge,9,10,2,3,0,13,2,21,26,19,105
E01003772,Redbridge,4,7,7,6,1,7,4,16,12,41,105
E01004141,Sutton,13,4,7,0,0,8,1,5,14,53,105
E01004340,Waltham Forest,10,7,9,2,2,6,5,16,18,30,105
E01004373,Waltham Forest,3,11,8,2,1,3,2,20,14,41,105
E01004408,Waltham Forest,10,12,11,1,2,11,3,26,12,17,105
E01004437,Waltham Forest,11,13,4,4,0,8,2,11,17,35,105
E01004553,Wandsworth,6,8,4,1,0,11,2,31,19,23,105
E01032640,Southwark,2,3,9,,3,10,3,52,7,16,105
E01033146,Enfield,7,9,7,4,1,5,1,15,18,38,105
E01033492,Islington,6,9,0,1,,7,1,36,12,33,105
E01000017,Barking and Dagenham,9,9,4,0,1,4,4,7,18,48,104
E01000413,Bexley,7,5,7,1,2,18,4,37,6,17,104
E01000501,Brent,8,7,5,4,1,6,1,5,21,46,104
E01000517,Brent,6,4,14,0,,8,4,33,15,20,104
E01000555,Brent,10,11,1,1,,8,1,13,21,38,104
E01001159,Croydon,6,12,3,1,2,12,0,7,27,34,104
E01001200,Ealing,14,5,7,2,1,11,1,14,25,24,104
E01001239,Ealing,8,5,5,,,7,3,9,35,32,104
E01001311,Ealing,15,6,4,2,0,4,0,11,9,53,104
E01001312,Ealing,7,9,3,1,1,10,3,14,12,44,104
E01001316,Ealing,7,6,8,2,2,12,2,12,11,42,104
E01001324,Ealing,5,5,5,4,0,6,0,13,18,48,104
E01001400,Enfield,10,11,2,,,11,,8,27,35,104
E01001571,Greenwich,11,6,5,2,0,7,0,13,18,42,104
E01001708,Greenwich,8,12,3,1,,12,0,18,20,30,104
E01001711,Greenwich,7,4,28,3,1,4,2,14,7,34,104
E01002442,Hillingdon,15,5,0,4,4,13,0,4,11,48,104
